x,l,high_precision_value,forward_value,backward_value,forward_absolute_error,forward_relative_error,backward_absolute_error,backward_relative_error
0,0,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,1,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,2,-5.00000000000000000e-01,-5.00000000000000000e-01,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,3,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,4,3.75000000000000000e-01,3.75000000000000000e-01,3.75000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,5,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,6,-3.12500000000000000e-01,-3.12500000000000000e-01,-3.12500000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,7,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,8,2.73437500000000000e-01,2.73437500000000000e-01,2.73437500000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,9,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,10,-2.46093750000000000e-01,-2.46093750000000000e-01,-2.46093749999999972e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,1.12784561231761928e-16
0,11,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,12,2.25585937500000000e-01,2.25585937500000000e-01,2.25585937500000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,13,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,14,-2.09472656250000000e-01,-2.09472656250000000e-01,-2.09472656250000028e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,1.32502141866685349e-16
0,15,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,16,1.96380615234375000e-01,1.96380615234375000e-01,1.96380615234375028e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,1.41335617991131039e-16
0,17,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,18,-1.85470581054687500e-01,-1.85470581054687500e-01,-1.85470581054687528e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,1.49649477872962265e-16
0,19,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,20,1.76197052001953125e-01,1.76197052001953125e-01,1.76197052001953125e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,21,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,22,-1.68188095092773438e-01,-1.68188095092773438e-01,-1.68188095092773382e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.55111512312578270e-17,3.30053986286232609e-16
0,23,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,24,1.61180257797241211e-01,1.61180257797241211e-01,1.61180257797241183e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,1.72202079801512650e-16
0,25,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,26,-1.54981017112731934e-01,-1.54981017112731934e-01,-1.54981017112731934e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,27,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,28,1.49445980787277222e-01,1.49445980787277222e-01,1.49445980787277249e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,1.85723131993335143e-16
0,29,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,30,-1.44464448094367981e-01,-1.44464448094367981e-01,-1.44464448094367953e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,1.92127377924139799e-16
0,31,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,32,1.39949934091418982e-01,1.39949934091418982e-01,1.39949934091419009e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,1.98325035276531386e-16
0,33,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,34,-1.35833759559318423e-01,-1.35833759559318423e-01,-1.35833759559318396e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,2.04334884830365685e-16
0,35,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,36,1.32060599571559578e-01,1.32060599571559578e-01,1.32060599571559578e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,37,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,38,-1.28585320635465905e-01,-1.28585320635465905e-01,-1.28585320635465905e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0,39,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,40,1.25370687619579257e-01,1.25370687619579257e-01,1.25370687619579285e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.77555756156289135e-17,2.21388078366847039e-16
0,41,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,42,-1.22385671247684513e-01,-1.22385671247684513e-01,-1.22385671247684499e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.38777878078144568e-17,1.13393893797653355e-16
0,43,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,44,1.19604178719328047e-01,1.19604178719328047e-01,1.19604178719328005e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.16333634234433703e-17,3.48092883285819625e-16
0,45,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,46,-1.17004087877603524e-01,-1.17004087877603524e-01,-1.17004087877603483e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.16333634234433703e-17,3.55828280692171180e-16
0,47,-0.00000000000000000e+00,-0.00000000000000000e+00,-inf,0.00000000000000000e+00,nan,inf,nan
0,48,1.14566502713486784e-01,1.14566502713486784e-01,1.14566502713486798e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.38777878078144568e-17,1.21133031724994455e-16
0,49,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,nan,inf,nan
0,50,-1.12275172659217048e-01,-1.12275172659217048e-01,-1.12275172659217048e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.10000000000000001,0,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.10000000000000001,1,1.00000000000000006e-01,1.00000000000000006e-01,3.33333333333333304e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.23333333333333295e+00,3.23333333333333286e+01
0.10000000000000001,2,-4.84999999999999987e-01,-4.84999999999999987e-01,-5.19480519480519431e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.44805194805194448e-02,7.10938545990091597e-02
0.10000000000000001,3,-1.47500000000000020e-01,-1.47499999999999992e-01,-1.11214087117701554e+00,2.77555756156289135e-17,1.88173394004263787e-16,9.64640871177015580e-01,6.53993810967468114e+00
0.10000000000000001,4,3.37937500000000002e-01,3.37937500000000002e-01,4.22948479588330206e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.50109795883302044e-02,2.51558289885941033e-01
0.10000000000000001,5,1.78828750000000009e-01,1.78828750000000009e-01,6.08229497153865983e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.29400747153866003e-01,2.40118407780553156e+00
0.10000000000000001,6,-2.48829312499999983e-01,-2.48829312499999983e-01,-4.03063311396360702e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.54233998896360719e-01,6.19838544529839996e-01
0.10000000000000001,7,-1.99492943750000012e-01,-1.99492943750000012e-01,-4.08200179604069902e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.08707235854069889e-01,1.04618856151432116e+00
0.10000000000000001,8,1.80320721484375002e-01,1.80320721484374974e-01,4.31993351918923851e-01,2.77555756156289135e-17,1.53923383775025357e-16,2.51672630434548850e-01,1.39569445132436742e+00
0.10000000000000001,9,2.11387641835937501e-01,2.11387641835937501e-01,3.08195719770082088e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.68080779341445874e-02,4.57964699796781005e-01
0.10000000000000001,10,-1.22124997387109357e-01,-1.22124997387109330e-01,-5.28912793193749398e-01,2.77555756156289135e-17,2.27271862513534785e-16,4.06787795806640040e-01,3.33091344532202749e+00
0.10000000000000001,11,-2.15485355715664073e-01,-2.15485355715664073e-01,-2.52239723431599394e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.67543677159353210e-02,1.70565501279043852e-01
0.10000000000000001,12,7.06465544260146266e-02,7.06465544260145989e-02,8.08658377630645964e-01,2.77555756156289135e-17,3.92879395762977242e-16,7.38011823204631323e-01,1.04465366952541512e+01
0.10000000000000001,13,2.12495434973308112e-01,2.12495434973308112e-01,2.19698528973867657e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.20309400055954563e-03,3.38976411491585111e-02
0.10000000000000001,14,-2.46191095078755924e-02,-2.46191095078755647e-02,-2.57142118907170536e+00,2.77555756156289135e-17,1.12739965703267919e-15,2.54680207956382976e+00,1.03448180314934376e+02
0.10000000000000001,15,-2.03088767146610172e-01,-2.03088767146610200e-01,-2.01727461686346726e-01,2.77555756156289135e-17,1.36667212104311555e-16,1.36130546026344557e-03,6.70300715982345089e-03
0.10000000000000001,16,-1.62680334710223577e-02,-1.62680334710223820e-02,-1.64581136855276089e+00,2.42861286636752993e-17,1.49287427438204360e-15,1.62954333508173854e+00,1.00168427731869585e+02
0.10000000000000001,17,1.87984456699493485e-01,1.87984456699493485e-01,1.94480167073170590e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.49571037367710491e-03,3.45545077913593651e-02
0.10000000000000001,18,5.19167870808670689e-02,5.19167870808670967e-02,5.88133899980283759e-01,2.77555756156289135e-17,5.34616588896305122e-16,5.36217112899416648e-01,1.03283955546823343e+01
0.10000000000000001,19,-1.67980426757456558e-01,-1.67980426757456558e-01,-1.96905947247413837e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.89255204899572793e-02,1.72195779283989048e-01
0.10000000000000001,20,-8.20771309445277458e-02,-8.20771309445277736e-02,-3.53246001627767481e-01,2.77555756156289135e-17,3.38164544693791291e-16,2.71168870683239749e-01,3.30382979476354555e+00
0.10000000000000001,21,1.43956776108407958e-01,1.43956776108407958e-01,2.10400650803063111e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.64438746946551528e-02,4.61554339370721878e-01
0.10000000000000001,22,1.06483358504601680e-01,1.06483358504601680e-01,2.53944791644564849e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.47461433139963183e-01,1.38483078680872596e+00
0.10000000000000001,23,-1.16864085265837719e-01,-1.16864085265837719e-01,-2.40143251188963069e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.23279165923125350e-01,1.05489351705183720e+00
0.10000000000000001,24,-1.24932435264803160e-01,-1.24932435264803174e-01,-2.01642895763435526e-01,1.38777878078144568e-17,1.11082344456021384e-16,7.67104604986323657e-02,6.14015570384417009e-01
0.10000000000000001,25,8.77027645433027941e-02,8.77027645433027941e-02,3.00661527492346370e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.12958762949043590e-01,2.42818757262658780e+00
0.10000000000000001,26,1.37330576184266279e-01,1.37330576184266279e-01,1.71361254465987711e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.40306782817214326e-02,2.47801176018223601e-01
0.10000000000000001,27,-5.74970305314541213e-02,-5.74970305314541283e-02,-4.41465270997594250e-01,6.93889390390722838e-18,1.20682648125823854e-16,3.83968240466140143e-01,6.67805340409863124e+00
0.10000000000000001,28,-1.43719972317792405e-01,-1.43719972317792405e-01,-1.53541766837978350e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.82179452018594468e-03,6.83398024769172330e-02
0.10000000000000001,29,2.72659659541137460e-02,2.72659659541137564e-02,9.79386008833173394e-01,1.04083408558608426e-17,3.81733802256526560e-16,9.52120042879059603e-01,3.49197253631650142e+01
0.10000000000000001,30,1.44291613211508352e-01,1.44291613211508352e-01,1.43986797784072751e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.04815427435600750e-04,2.11249580381910529e-03
0.10000000000000001,31,2.00644716021899060e-03,2.00644716021897672e-03,2.80633280991269496e+00,1.38777878078144568e-17,6.91659769714532936e-15,2.80432636275247615e+00,1.39765771975096641e+03
0.10000000000000001,32,-1.39387481013980602e-01,-1.39387481013980602e-01,-1.40909866672537659e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.52238565855705721e-03,1.09219683681948555e-02
0.10000000000000001,33,-2.94007556278145961e-02,-2.94007556278145787e-02,-5.52998021123909278e-01,1.73472347597680709e-17,5.90026833982345395e-16,5.23597265496094644e-01,1.78089730796151784e+01
0.10000000000000001,34,1.29494170904558892e-01,1.29494170904558892e-01,1.43992541461821222e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.44983705572623300e-02,1.11961569049683837e-01
0.10000000000000001,35,5.40895848739186488e-02,5.40895848739186280e-02,3.05781045858456224e-01,2.08166817117216851e-17,3.84855638294226197e-16,2.51691460984537596e-01,4.65323336407967503e+00
0.10000000000000001,36,-1.15229442473742741e-01,-1.15229442473742755e-01,-1.54319078980149599e-01,1.38777878078144568e-17,1.20436127346331471e-16,3.90896365064068579e-02,3.39233061162421135e-01
0.10000000000000001,37,-7.53621617707944114e-02,-7.53621617707943975e-02,-2.13918125168436085e-01,1.38777878078144568e-17,1.84147952788591666e-16,1.38555963397641674e-01,1.83853488464203219e+00
0.10000000000000001,38,9.73229778486190411e-02,9.73229778486190550e-02,1.75193371737898979e-01,1.38777878078144568e-17,1.42595182705985974e-16,7.78703938892799374e-02,8.00123420086912951e-01
0.10000000000000001,39,9.26448481211424174e-02,9.26448481211424035e-02,1.67956141979834134e-01,1.38777878078144568e-17,1.49795569740347121e-16,7.53112938586917163e-02,8.12903203858833634e-01
0.10000000000000001,40,-7.65925458984779289e-02,-7.65925458984779428e-02,-2.15115520909664654e-01,1.38777878078144568e-17,1.81189796539851536e-16,1.38522975011186711e-01,1.80856992526134963e+00
0.10000000000000001,41,-1.05516915771301664e-01,-1.05516915771301636e-01,-1.41967717528056980e-01,2.77555756156289135e-17,2.63043848588093722e-16,3.64508017567553161e-02,3.45449840817553089e-01
0.10000000000000001,42,5.39167614508521756e-02,5.39167614508521895e-02,2.99714817099718478e-01,1.38777878078144568e-17,2.57392829880273013e-16,2.45798055648866309e-01,4.55884309507208663e+00
0.10000000000000001,43,1.13720998482021246e-01,1.13720998482021232e-01,1.26796933899138764e-01,1.38777878078144568e-17,1.22033643681104949e-16,1.30759354171175179e-02,1.14982594170457988e-01
0.10000000000000001,44,-3.02056376271149681e-02,-3.02056376271149889e-02,-5.49798302641542613e-01,2.08166817117216851e-17,6.89165445494022117e-16,5.19592665014427690e-01,1.72018439547192408e+01
0.10000000000000001,45,-1.17167869068672395e-01,-1.17167869068672381e-01,-1.18572212402379709e-01,1.38777878078144568e-17,1.18443630648267990e-16,1.40434333370731412e-03,1.19857375991384192e-02
0.10000000000000001,46,6.37013227598379889e-03,6.37013227598381970e-03,6.48517804855564606e+00,2.08166817117216851e-17,3.26785705694106202e-15,6.47880791627966257e+00,1.01706018581522778e+03
0.10000000000000001,47,1.15935408666501691e-01,1.15935408666501677e-01,1.15631163158373407e-01,1.38777878078144568e-17,1.19702754899800490e-16,3.04245508128284103e-04,2.62426735393216093e-03
