# x l forward_absolute forward_relative backward_absolute backward_relative
0.10 0 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00
0.10 1 0.00000000000000000e+00 0.00000000000000000e+00 3.23333333333333295e+00 3.23333333333333286e+01
0.10 2 0.00000000000000000e+00 0.00000000000000000e+00 3.44805194805194448e-02 7.10938545990091597e-02
0.10 3 2.77555756156289135e-17 1.88173394004263787e-16 9.64640871177015580e-01 6.53993810967468114e+00
0.10 4 0.00000000000000000e+00 0.00000000000000000e+00 8.50109795883302044e-02 2.51558289885941033e-01
0.10 5 0.00000000000000000e+00 0.00000000000000000e+00 4.29400747153866003e-01 2.40118407780553156e+00
0.10 6 0.00000000000000000e+00 0.00000000000000000e+00 1.54233998896360719e-01 6.19838544529839996e-01
0.10 7 0.00000000000000000e+00 0.00000000000000000e+00 2.08707235854069889e-01 1.04618856151432116e+00
0.10 8 2.77555756156289135e-17 1.53923383775025357e-16 2.51672630434548850e-01 1.39569445132436742e+00
0.10 9 0.00000000000000000e+00 0.00000000000000000e+00 9.68080779341445874e-02 4.57964699796781005e-01
0.10 10 2.77555756156289135e-17 2.27271862513534785e-16 4.06787795806640040e-01 3.33091344532202749e+00
0.10 11 0.00000000000000000e+00 0.00000000000000000e+00 3.67543677159353210e-02 1.70565501279043852e-01
0.10 12 2.77555756156289135e-17 3.92879395762977242e-16 7.38011823204631323e-01 1.04465366952541512e+01
0.10 13 0.00000000000000000e+00 0.00000000000000000e+00 7.20309400055954563e-03 3.38976411491585111e-02
0.10 14 2.77555756156289135e-17 1.12739965703267919e-15 2.54680207956382976e+00 1.03448180314934376e+02
0.10 15 2.77555756156289135e-17 1.36667212104311555e-16 1.36130546026344557e-03 6.70300715982345089e-03
0.10 16 2.42861286636752993e-17 1.49287427438204360e-15 1.62954333508173854e+00 1.00168427731869585e+02
0.10 17 0.00000000000000000e+00 0.00000000000000000e+00 6.49571037367710491e-03 3.45545077913593651e-02
0.10 18 2.77555756156289135e-17 5.34616588896305122e-16 5.36217112899416648e-01 1.03283955546823343e+01
0.10 19 0.00000000000000000e+00 0.00000000000000000e+00 2.89255204899572793e-02 1.72195779283989048e-01
0.10 20 2.77555756156289135e-17 3.38164544693791291e-16 2.71168870683239749e-01 3.30382979476354555e+00
0.10 21 0.00000000000000000e+00 0.00000000000000000e+00 6.64438746946551528e-02 4.61554339370721878e-01
0.10 22 0.00000000000000000e+00 0.00000000000000000e+00 1.47461433139963183e-01 1.38483078680872596e+00
0.10 23 0.00000000000000000e+00 0.00000000000000000e+00 1.23279165923125350e-01 1.05489351705183720e+00
0.10 24 1.38777878078144568e-17 1.11082344456021384e-16 7.67104604986323657e-02 6.14015570384417009e-01
0.10 25 0.00000000000000000e+00 0.00000000000000000e+00 2.12958762949043590e-01 2.42818757262658780e+00
0.10 26 0.00000000000000000e+00 0.00000000000000000e+00 3.40306782817214326e-02 2.47801176018223601e-01
0.10 27 6.93889390390722838e-18 1.20682648125823854e-16 3.83968240466140143e-01 6.67805340409863124e+00
0.10 28 0.00000000000000000e+00 0.00000000000000000e+00 9.82179452018594468e-03 6.83398024769172330e-02
