y,empirical_cdf,exact_cdf
0.0000248826,0.0000100000,0.0000373232
0.0000320454,0.0000200000,0.0000480670
0.0000388041,0.0000300000,0.0000582044
0.0000397603,0.0000400000,0.0000596386
0.0000439589,0.0000500000,0.0000659362
0.0000482474,0.0000600000,0.0000723684
0.0000583539,0.0000700000,0.0000875271
0.0000628011,0.0000800000,0.0000941972
0.0000719063,0.0000900000,0.0001078537
0.0000892108,0.0001000000,0.0001338073
0.0000925246,0.0001100000,0.0001387773
0.0000938842,0.0001200000,0.0001408164
0.0001016119,0.0001300000,0.0001524063
0.0001016796,0.0001400000,0.0001525078
0.0001136466,0.0001500000,0.0001704553
0.0001144324,0.0001600000,0.0001716339
0.0001208898,0.0001700000,0.0001813183
0.0001255302,0.0001800000,0.0001882776
0.0001292559,0.0001900000,0.0001938650
0.0001310211,0.0002000000,0.0001965123
0.0001366179,0.0002100000,0.0002049059
0.0001393979,0.0002200000,0.0002090749
0.0001484821,0.0002300000,0.0002226983
0.0001526494,0.0002400000,0.0002289480
0.0001658274,0.0002500000,0.0002487102
0.0001887884,0.0002600000,0.0002831426
0.0001889875,0.0002700000,0.0002834410
0.0001951521,0.0002800000,0.0002926853
0.0002021053,0.0002900000,0.0003031120
0.0002038011,0.0003000000,0.0003056549
0.0002166503,0.0003100000,0.0003249226
0.0002197082,0.0003200000,0.0003295080
0.0002358914,0.0003300000,0.0003537745
0.0002528142,0.0003400000,0.0003791493
0.0002600825,0.0003500000,0.0003900477
0.0002638655,0.0003600000,0.0003957199
0.0002656003,0.0003700000,0.0003983211
0.0002693041,0.0003800000,0.0004038746
0.0002754114,0.0003900000,0.0004130318
0.0002754331,0.0004000000,0.0004130644
0.0002791907,0.0004100000,0.0004186984
0.0002799883,0.0004200000,0.0004198942
0.0002903369,0.0004300000,0.0004354105
0.0002934324,0.0004400000,0.0004400518
0.0002990027,0.0004500000,0.0004484034
0.0003066349,0.0004600000,0.0004598466
0.0003104448,0.0004700000,0.0004655588
0.0003201401,0.0004800000,0.0004800949
0.0003245583,0.0004900000,0.0004867190
0.0003261889,0.0005000000,0.0004891637
0.0003362541,0.0005100000,0.0005042539
0.0003525684,0.0005200000,0.0005287128
0.0003543932,0.0005300000,0.0005314485
0.0003596583,0.0005400000,0.0005393419
0.0003616847,0.0005500000,0.0005423799
0.0003618891,0.0005600000,0.0005426863
0.0003622252,0.0005700000,0.0005431902
0.0003665392,0.0005800000,0.0005496577
0.0003705455,0.0005900000,0.0005556638
0.0003711910,0.0006000000,0.0005566315
0.0003743710,0.0006100000,0.0005613989
0.0003849699,0.0006200000,0.0005772882
0.0003868032,0.0006300000,0.0005800365
0.0003905493,0.0006400000,0.0005856524
0.0003966211,0.0006500000,0.0005947547
0.0003990698,0.0006600000,0.0005984255
0.0004136955,0.0006700000,0.0006203507
0.0004229207,0.0006800000,0.0006341799
0.0004333794,0.0006900000,0.0006498578
0.0004340267,0.0007000000,0.0006508282
0.0004349646,0.0007100000,0.0006522341
0.0004462109,0.0007200000,0.0006690924
0.0004585612,0.0007300000,0.0006876052
0.0004586106,0.0007400000,0.0006876793
0.0004667007,0.0007500000,0.0006998060
0.0004755849,0.0007600000,0.0007131230
0.0004794567,0.0007700000,0.0007189265
0.0004801110,0.0007800000,0.0007199072
0.0004847905,0.0007900000,0.0007269215
0.0004871842,0.0008000000,0.0007305094
0.0004882048,0.0008100000,0.0007320391
0.0004939745,0.0008200000,0.0007406874
0.0004967377,0.0008300000,0.0007448290
0.0005002461,0.0008400000,0.0007500877
0.0005034796,0.0008500000,0.0007549343
0.0005055739,0.0008600000,0.0007580733
0.0005112493,0.0008700000,0.0007665800
0.0005133467,0.0008800000,0.0007697237
0.0005134160,0.0008900000,0.0007698275
0.0005230937,0.0009000000,0.0007843329
0.0005268953,0.0009100000,0.0007900307
0.0005283384,0.0009200000,0.0007921937
0.0005385993,0.0009300000,0.0008075726
0.0005504007,0.0009400000,0.0008252603
0.0005516562,0.0009500000,0.0008271420
0.0005532131,0.0009600000,0.0008294755
0.0005779418,0.0009700000,0.0008665370
0.0005829265,0.0009800000,0.0008740076
0.0006020897,0.0009900000,0.0009027268
0.0006088056,0.0010000000,0.0009127916
0.0006096927,0.0010100000,0.0009141210
0.0006124585,0.0010200000,0.0009182659
0.0006169280,0.0010300000,0.0009249640
0.0006192572,0.0010400000,0.0009284546
0.0006192908,0.0010500000,0.0009285049
0.0006352485,0.0010600000,0.0009524189
0.0006412951,0.0010700000,0.0009614802
0.0006515142,0.0010800000,0.0009767939
0.0006532050,0.0010900000,0.0009793276
0.0006744886,0.0011000000,0.0010112212
0.0006800856,0.0011100000,0.0010196082
0.0006832283,0.0011200000,0.0010243175
0.0006871610,0.0011300000,0.0010302104
0.0006908631,0.0011400000,0.0010357578
0.0007133316,0.0011500000,0.0010694251
0.0007145268,0.0011600000,0.0010712161
0.0007196018,0.0011700000,0.0010788203
0.0007199045,0.0011800000,0.0010792739
0.0007308162,0.0011900000,0.0010956237
0.0007330178,0.0012000000,0.0010989225
0.0007354028,0.0012100000,0.0011024959
0.0007404682,0.0012200000,0.0011100858
0.0007517200,0.0012300000,0.0011269446
0.0007530135,0.0012400000,0.0011288826
0.0007574193,0.0012500000,0.0011354838
0.0007633359,0.0012600000,0.0011443486
0.0007702643,0.0012700000,0.0011547292
0.0007790733,0.0012800000,0.0011679274
0.0007818985,0.0012900000,0.0011721603
0.0007964450,0.0013000000,0.0011939541
0.0007972366,0.0013100000,0.0011951402
0.0007983978,0.0013200000,0.0011968799
0.0007987497,0.0013300000,0.0011974070
0.0008211674,0.0013400000,0.0012309928
0.0008224965,0.0013500000,0.0012329840
0.0008238763,0.0013600000,0.0012350511
0.0008324747,0.0013700000,0.0012479327
0.0008337596,0.0013800000,0.0012498577
0.0008448479,0.0013900000,0.0012664692
0.0008456182,0.0014000000,0.0012676232
0.0008473738,0.0014100000,0.0012702532
0.0008634432,0.0014200000,0.0012943265
0.0008640671,0.0014300000,0.0012952611
0.0008756020,0.0014400000,0.0013125408
0.0008773788,0.0014500000,0.0013152026
0.0008784954,0.0014600000,0.0013168752
0.0008828955,0.0014700000,0.0013234667
0.0008846505,0.0014800000,0.0013260958
0.0008880703,0.0014900000,0.0013312185
0.0008943732,0.0015000000,0.0013406603
0.0009060855,0.0015100000,0.0013582050
0.0009100313,0.0015200000,0.0013641156
0.0009140134,0.0015300000,0.0013700807
0.0009149603,0.0015400000,0.0013714992
0.0009195948,0.0015500000,0.0013784412
0.0009212250,0.0015600000,0.0013808832
0.0009359902,0.0015700000,0.0014030002
0.0009371859,0.0015800000,0.0014047911
0.0009386998,0.0015900000,0.0014070589
0.0009423698,0.0016000000,0.0014125560
0.0009452143,0.0016100000,0.0014168168
0.0009698478,0.0016200000,0.0014537140
0.0009796248,0.0016300000,0.0014683581
0.0009855095,0.0016400000,0.0014771721
0.0009865305,0.0016500000,0.0014787014
0.0009965639,0.0016600000,0.0014937292
0.0010064210,0.0016700000,0.0015084925
0.0010087518,0.0016800000,0.0015119836
0.0010228531,0.0016900000,0.0015331032
0.0010239814,0.0017000000,0.0015347931
0.0010288084,0.0017100000,0.0015420225
0.0010332623,0.0017200000,0.0015486930
0.0010339961,0.0017300000,0.0015497920
0.0010390925,0.0017400000,0.0015574247
0.0010413066,0.0017500000,0.0015607406
0.0010419645,0.0017600000,0.0015617260
0.0010445032,0.0017700000,0.0015655281
0.0010475233,0.0017800000,0.0015700511
0.0010502022,0.0017900000,0.0015740632
0.0010584886,0.0018000000,0.0015864731
